RandomSeed	CP1	CP2	CP3	CP4
1502755408	1230	1650	2070	3580
3006105083	1260	1930	2520	3080
1789136882	1600	2440	4140	4940
4118770566	2240	3820	4700	5070
3747098774	1070	1480	1890	3880
3301512300	2400	4610	5070	5270
3096900441	1390	1980	2600	4000
11534206	1240	3040	3650	4050
1560400357	1350	2330	4260	4780
4102499644	2130	3180	3530	3950
4161428614	1380	2350	4120	4860
749160613	3520	3700	3870	4290
3814364109	390	740	2040	3690
4276675963	920	1380	1790	4120
3633067324	3450	3800	4120	4790
89369600	1470	2110	2410	2660
1386601836	1310	1810	2190	4120
2066795500	1880	2810	3140	3510
3203741122	1480	2860	3420	4030
532526618	1500	1990	2390	4030
2637403241	510	1060	2600	4030
3805322242	670	1060	2810	3920
408746441	1570	2100	2480	3400
3900560676	450	870	2050	4380
94899234	1450	1970	2580	4000
2705475340	1280	1740	2390	3920
597940771	3360	3560	3740	4300
1460049059	1260	1900	2370	3380
3430015618	1500	2620	4450	5000
2370301171	990	1150	1310	1650
1568653392	1690	3050	4320	4840
3071311638	1740	2190	2650	3620
472004551	1470	2040	2520	3740
2361326759	3910	4350	4700	5060
112665104	1430	1830	2340	3230
787232554	1400	2280	2880	4120
257803485	1420	2950	3530	4140
1775084145	1360	3260	4070	4820
3273082398	1660	2850	4100	4790
1567973103	1120	1640	2100	4130
3670673222	540	1070	2350	3640
252854903	660	1110	1450	1910
495086776	1450	1940	2450	3290
654540999	2850	3380	4160	4850
1560717708	1370	1930	2420	3990
3810316622	1230	1580	1990	3430
837944133	3730	4090	4500	4880
3699503485	650	1120	1730	2170
1598788979	1680	3280	4430	4940
340426807	470	780	1240	1740
3655187039	700	1190	1570	2220
2996124772	1290	1740	2200	3800
837282563	960	3180	3690	4080
2055460527	1780	2870	4280	4750
284003471	1390	2580	3170	3810
3095439740	1730	2760	4380	4970
2353347331	1980	2650	3240	3830
1279359453	210	390	840	2760
2089537924	600	980	1350	1690
449454426	580	1100	2820	4070
2812802573	510	980	1460	1880
3329622631	1170	2980	3530	4110
2101346191	380	850	1180	1620
36891177	1570	2730	3130	3560
1259023810	1330	1930	2460	3780
1170633957	1810	2220	2610	3770
3494178955	1190	1540	1780	3510
216224175	1390	2600	3160	3740
3924054058	1330	2170	2680	3770
2729606383	1240	1860	2330	3330
3202897386	580	980	2260	3750
1318497607	650	1090	2410	3700
1408407789	1860	2210	2420	3720
3075616808	1180	1610	1940	3580
3727844506	580	1070	2440	3580
2874992370	1320	2640	4090	4810
4135756551	460	850	1210	1570
667159515	980	2080	4720	5090
506487761	1000	1300	1770	3520
537638039	1660	2020	2360	4290
769706821	1030	2620	4180	4710
917416926	1660	3580	3870	4120
793289122	3360	3560	3760	4270
3562647537	470	900	2060	4150
3393831486	1460	2780	4210	4850
1222920420	1310	2770	3460	4130
27830852	1430	2840	4260	4860
